protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A9X9	1083674488.7469554	1062689218.078288	1065182466.4595932	881689600.9476585	875237362.8457028	863374970.1440897	0	2.913197260856482e-05	0.29353497742918844	False	2.506265664160401e-05	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P22564	829360.3034929263	762352.1875000001	796446.8474338528	347966.17172707303	386397.61777150223	425101.9785003658	0	0.00017594748761820965	1.042438870123593	False	5.012531328320802e-05	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P52129	133899.59386150897	148916.62499999997	142127.12958748278	1833704.8555056488	1889523.939614076	1785340.2229427109	3	0.0002435653191008829	-3.6963351675679115	False	7.518796992481204e-05	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A6T1	1396592322.81565	1389727663.927286	1394561610.9178424	1317952175.2400324	1319893522.3641317	1308133496.358368	0	0.00024875958839595385	0.08342383775885764	False	0.00010025062656641604	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A717	1246049800.0427034	1227774804.8628516	1239600741.453201	1382906676.7076116	1365221830.0567038	1356879668.4760451	0	0.00030317149841575374	-0.1446345201008074	False	0.00012531328320802005	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A850	8923760622.552393	8935632498.043764	8898261234.73744	9574230529.9164	9606522784.034292	9664813228.892706	0	0.00032910673912999946	-0.10839794783209396	False	0.00015037593984962408	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A9P4	373958852.5564487	372677927.8302664	375812309.9038301	406606664.541323	411898686.3238043	412202738.8196995	0	0.0004350882502623851	-0.13283859943642742	False	0.00017543859649122808	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P12999	133899.59386150897	148916.62499999997	142127.12958748278	850775.8905219815	897349.3178494204	830538.845131104	3	0.0004562637898196561	-2.6012814065801937	False	0.0002005012531328321	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P69222	387172547.5168327	379235008.6424515	384413343.0890403	415502327.1076015	413932146.45695007	420224948.7830867	0	0.0004841951383942122	-0.11887163537897415	False	0.0002255639097744361	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P45578	495757934.7365575	498585034.94370455	504770430.0295428	588414102.5665445	585384022.4238982	572389551.3264449	0	0.0005879400999114974	-0.22009910552896994	False	0.0002506265664160401	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P09373	21326871987.455544	21670407477.75142	21862371479.87276	23852321197.23814	23370072640.876663	23660027949.865746	0	0.0007117773466886231	-0.1281066365751308	False	0.00027568922305764416	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P69853	11868163.10764896	11877642.677730402	11292218.75859102	9343949.914711677	9441786.169056997	8751477.740743795	0	0.0010444778800551729	0.3475388405248186	False	0.00030075187969924816	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AA04	1695095700.148874	1540270087.238431	1615750617.6036155	2109069501.1577632	2193446441.0447254	2066443851.4436047	0	0.0011108706208897436	-0.39274096631581	False	0.00032581453634085216	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A962	16519537.520070003	16256057.595058007	16383877.460187294	15416788.084447244	15442552.15338484	15666958.283902442	0	0.001347203394059543	0.07942302171293186	False	0.00035087719298245617	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AGD3	1319210676.7116983	1320972945.816148	1352303005.6819503	1163933714.7741172	1205195987.370549	1202128992.1650074	0	0.0014282887972545358	0.16085493227525277	False	0.00037593984962406017	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AEB2	501356925.2043016	494279646.28697807	492364000.2900794	529093969.3202548	524907506.831707	522433586.1731154	0	0.001456672701875084	-0.08329066186959558	False	0.0004010025062656642	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P36649	133899.59386150897	148916.62499999997	142127.12958748278	3214196.7732147337	3455192.4707625248	3654851.301716682	3	0.0014709714920771075	-4.6026213298276	False	0.00042606516290726824	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AFD6	102902952.1504752	104736439.0888116	101351012.91152428	113539874.43642168	117392883.23083878	113887466.38863596	0	0.001960110727021572	-0.1582823572157288	False	0.0004511278195488722	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A6M8	10225959389.142786	10291037386.295565	10543509685.203928	11355439422.294064	11489274127.778383	11150706243.85458	0	0.002098118269619204	-0.13025903107262896	False	0.00047619047619047624	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P67662	1714758.9767158846	2020436.392656898	1897421.810026947	121461.50626799196	150984.4671818267	129970.63810743076	3	0.0023837310010493026	3.807043656981047	False	0.0005012531328320802	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P07363	62027743.09217461	62374181.60435677	62019754.22663165	65265443.00463771	64867914.49363181	64430065.56343675	0	0.002407786334788537	-0.06167087591039287	False	0.0005263157894736842	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A8E7	869390497.4252994	873555192.74083	885387651.5468235	913170407.9693727	919877497.0492942	926875741.4468656	0	0.002421658746827964	-0.0704800963740014	False	0.0005513784461152883	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ADG4	413491079.22995335	407916727.6087355	414308524.902358	385721644.2572961	382486478.9232641	391835519.01698416	0	0.00245768905877314	0.09116851717639915	False	0.0005764411027568923	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P75882	114921787.15433902	114802987.1037049	115743358.41452676	111265269.13561584	109620641.18921214	110068929.59032597	0	0.002462208511095054	0.06191826786528156	False	0.0006015037593984963	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ADS6	155166994.21962872	157989319.62801856	153883577.69500682	171069412.71990925	169375504.5685206	170125817.2737143	0	0.0027630820743349614	-0.1285650652559432	False	0.0006265664160401002	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ABP8	1190181712.6595192	1167611535.2304204	1147560323.7607858	1288376220.5522811	1257018514.3013098	1278637042.1158712	0	0.0030300348609176987	-0.12553454116319893	False	0.0006516290726817043	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ADP9	148888235.55020338	145229546.5534654	143366530.65087906	128262242.31086534	125477356.8040932	132414496.25863189	0	0.00316840703943304	0.1800546139120802	False	0.0006766917293233083	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A7A9	1159259811.920653	1185875024.3144722	1203756732.2174006	1017113094.0279764	1062259468.2928418	1066805186.9114984	0	0.0032070490153139303	0.17376831466324016	False	0.0007017543859649123	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A7S9	2581315600.310151	2654035688.994963	2591667138.8389144	2330436762.1371136	2382354215.628589	2425770861.8743525	0	0.003406053943709542	0.13282938860778298	False	0.0007268170426065163	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P02942	165966638.49192312	169054655.07141265	166390680.62107798	174572321.41943038	178439666.6372713	177919425.48720124	0	0.003708846692900895	-0.08252905423757254	False	0.0007518796992481203	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ACI0	76312712.38197133	74317491.73742227	73471211.72691266	65501551.231421806	68537206.94745182	67597952.37837246	0	0.003736226542139108	0.15239343971030403	False	0.0007769423558897244	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AAI5	486427029.9582226	480141218.5661144	470779990.28117865	518332316.0218405	521635505.22896194	508611344.3768844	0	0.003737214337195919	-0.10753549920847277	False	0.0008020050125313284	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A7L3	1490096277.5419424	1497961388.475308	1505464615.552235	1165755010.7586863	1239273471.0139642	1201052438.884792	0	0.0038005187376812678	0.3174149845921524	False	0.0008270676691729324	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P52060	4403749.7003830895	4450284.161970165	4191057.55954684	6155650.4334306	5597499.753183745	5857017.627247934	0	0.0038207666082599873	-0.4329016024064711	False	0.0008521303258145365	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A7W7	579531028.0382363	573960616.1666827	549663551.1517048	636679903.8893327	630195201.015966	653108044.0314482	0	0.004165520114089204	-0.17288374629600614	False	0.0008771929824561404	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AG63	1487743827.8498263	1627974615.8496358	1582513457.346252	1949069402.389193	1861469562.186858	1853377049.0339696	0	0.004336011086009408	-0.26968194742340434	False	0.0009022556390977444	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P69811	760566292.4695392	781816073.2862291	760175521.0089738	822940458.2796224	832067836.9100974	813326434.5031897	0	0.004432103216471062	-0.10030062452525804	False	0.0009273182957393484	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P05020	91960232.18131572	92921075.08597468	93355656.82178424	99034090.11045568	99646276.94807547	97254493.3438653	0	0.0046132955030215635	-0.08896555623984408	False	0.0009523809523809525	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A6P9	8174274286.610113	8173156997.292872	8327907135.187215	8662452035.84985	8549808443.50456	8732223038.313814	0	0.004631623077109286	-0.0723579449324581	False	0.0009774436090225565	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A9L8	23760473.91830577	24445389.74842703	21002362.445987053	30638975.885936342	33090055.369974528	29881864.878865626	0	0.004814983380312096	-0.4357329393458536	False	0.0010025062656641604	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P14407	831172237.0924768	817048410.4892966	834943627.4566225	762473491.8532647	782960311.191118	783414653.3192807	0	0.00501897660696035	0.09256294387108661	False	0.0010275689223057645	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P00888	48854775.74521777	47524527.98323094	47968218.20321722	45474143.74221896	45587600.29762177	44475383.37128377	0	0.005237241321065955	0.09085824024628551	False	0.0010526315789473684	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P60785	192343879.917322	188680680.12099436	184891024.66552523	167995825.16799766	175747599.27132222	170926499.40311217	0	0.00545600341950592	0.13693939108967285	False	0.0010776942355889723	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A7U7	1166507493.2947364	1195628240.132263	1211238529.8819995	1077781058.6507356	1098107712.954694	1039459798.3977616	0	0.006399403274980107	0.15231187896868553	False	0.0011027568922305766	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AGG2	17013355.47537128	18176693.0998098	17693622.77079701	13895674.688341092	14537269.46654804	15401496.254498916	0	0.00648256607365583	0.2707575059846977	False	0.0011278195488721805	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A927	313009822.1150619	308258801.59473777	316064626.63848394	291170944.51346093	293134047.73030925	294251046.9612661	0	0.006563363364170208	0.09342774854419238	False	0.0011528822055137846	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ACF0	6706117412.008507	7039333542.236975	6820537313.598496	6199448316.233925	6296490384.884788	5985836686.149003	0	0.006669851543522232	0.15415704918283368	False	0.0011779448621553885	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AFR4	112066605.49492209	109618577.07500756	111328319.4211416	118164568.73454154	115636249.09138715	118751448.93900128	0	0.0068129622881302095	-0.08225648418123231	False	0.0012030075187969926	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
